label,diskUsage,forkCount,squashMergeAllowed,isArchived,isFork,C,Shell,C++,assign_,stargazer_,milestone,Ruby,Makefile,Python,JavaScript,HTML,CSS,Java,languageCounter,popularLanguageCounter,hasLanguage,description_len,has_description,has_issue,stargazer_non_zero,has_milestone,has_release,contributed
0,11326,0,0,0,1,0.8583338035321334,0.003515911527393782,0.023768549342662083,1.0,0.0,0.0,0.0,0.01119660892625402,0.06891821362071884,0.0,0.0,0.0,0.0,6,5,0,44,0,0,1,0,0,0
0,25834,0,0,0,1,0.010656350773078952,0.01240727344066113,0.9442543251958752,1.0,0.0,0.0,0.0,0.00566781514768812,0.003106416371372169,0.0028391186532118642,0.01625182387777873,0.002889390242407151,0.0,9,8,0,50,0,0,1,0,0,0
0,174,2,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4799853103195005,0.0,0.5200146896804995,0.0,0.0,2,2,0,3,1,0,1,0,0,0
0,138,1,0,0,1,0.5448167387570108,0.18744179308346606,0.03528632628986527,1.0,0.0,0.0,0.0,0.014321488441399863,0.0,0.0,0.0,0.0,0.0,6,4,0,26,0,0,1,0,0,0
0,2090,0,0,0,1,0.2899884523628242,0.01292129841124816,0.0056215420537028575,1.0,2.0,0.0,0.0,0.004917263083092229,0.3192731333434851,0.0,0.0,0.0,0.0,6,5,0,3,1,0,0,0,0,0
0,126,0,0,0,1,0.8210772304097094,0.0,0.1789227695902906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,38,0,0,1,0,0,0
0,1461,0,0,0,1,0.0,0.0013993879891768856,0.949400610239446,1.0,0.0,0.0,0.0,0.0,0.002364788563988787,0.0,0.0,0.0,0.0,7,3,0,69,0,0,1,0,0,0
0,488,0,0,0,1,0.18535165311762453,0.14473289391402575,0.6553617896839005,1.0,0.0,0.0,0.0,0.006400913803885179,0.0,0.0,0.0,0.0,0.0,6,4,0,104,0,0,1,0,0,0
0,112,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,3,1,0,1,0,0,0
0,395,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,62,0,0,1,0,0,0
0,8044,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,26,0,0,1,0,0,0
0,236113,0,0,0,1,0.9356300914978058,0.0013750876525357785,0.021081726445681414,1.0,0.0,0.0,3.757884019966292e-06,0.0044749379892099995,0.0008730933459567622,0.0,1.5447141195762444e-06,3.549936145543563e-05,0.0,27,8,0,33,0,0,1,0,0,0
0,3666,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,12,0,0,1,0,0,0
0,161,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,142,0,0,1,0,0,0
0,17,0,0,0,0,0.9804583779754972,0.0,0.0,1.0,0.0,0.0,0.0,0.004425397121162715,0.0,0.0,0.0,0.0,0.01511622490334001,3,3,0,3,1,0,1,0,0,0
0,127,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3,1,0,1,0,0,0
0,15923,0,0,0,1,0.0,0.008281170028460499,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9737281112208034,3,2,0,24,0,0,1,0,0,0
0,1854,0,0,0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,72,0,0,0,0,0,0
0,113,7,0,0,0,0.994453358176768,0.004149198626710143,0.0,1.0,11.0,0.0,0.0,0.0013974431965219193,0.0,0.0,0.0,0.0,0.0,3,3,0,39,0,0,0,0,0,0
0,7934,0,0,0,1,0.6014246138232422,0.21160336376804564,0.05476264761004382,1.0,0.0,0.0,0.0,0.0715754071695428,0.0,0.0,0.0,0.0,0.0,10,4,0,11,0,0,1,0,0,0
0,1799,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,84,0,0,1,0,0,0
0,1033,0,0,0,0,0.2214656970103428,0.0,0.7742195768581878,2.0,0.0,0.0,0.0,0.0,0.0043147261314694695,0.0,0.0,0.0,0.0,3,3,0,34,0,0,1,0,0,0
0,4,0,0,0,0,0.8429003021148036,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,76,0,0,1,0,0,0
0,4,0,0,0,0,0.8429003021148036,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,88,0,0,1,0,0,0
0,0,0,0,0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3,1,0,1,0,0,0
0,7620,1,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,21,0,0,1,0,0,0
0,4,0,0,0,0,0.8429003021148036,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,86,0,0,1,0,0,0
